Nguyen Van Hai;nguyenvanhai@ut.edu.vn;001234567890;10100234
Tran Thi Lan;tranthilan@ut.edu.vn;001234567891;10100235
Le Minh Tuan;leminhtuan@ut.edu.vn;001234567892;10100236
Pham Quoc Bao;phamquocbao@ut.edu.vn;001234567893;10100237
Hoang Thi Mai;hoangthimai@ut.edu.vn;001234567894;10100238
Vo Thanh Long;vothanhlong@ut.edu.vn;001234567895;10100239
Do Quang Huy;doquanghuy@ut.edu.vn;001234567899;10100240
Bui Minh Chau;buiminhchau@ut.edu.vn;001234567898;10100241
Nguyen Thi Hong;nguyenthihong@ut.edu.vn;001234567896;10100242
Dang Van Phuc;dangvanphuc@ut.edu.vn;001234567897;10100243
Tran Van Khoa;tranvankhoa@ut.edu.vn;001234567900;10100244
Nguyen Thi Thao;nguyenthithao@ut.edu.vn;001234567901;10100245
Le Quoc Viet;lequocviet@ut.edu.vn;001234567902;10100246
Pham Thi Nhung;phamthinhung@ut.edu.vn;001234567903;10100247
Hoang Minh Duc;hoangminhduc@ut.edu.vn;001234567904;10100248
